ARK	200	214	214$c	700	300$a
ark:/12148/cb46985081j	 $a Osez (re)lire Baudelaire $b Texte imprimé $e 35 extraits pour changer la boue en or $f textes choisis et présentés par Elise Benchimol	 $a Paris $c Librio $d DL 2022¤ $a impr. en Italie	Librio	 $3 11890582 $o ISNI0000000121221863 $a Baudelaire $b Charles $f 1821-1867 $4 070	
ark:/12148/cb46944111k	 $a 100 % chocolat $b Texte imprimé $f J.-F. Mallet	 $a Vanves $c Hachette cuisine $d DL 2022¤ $a impr. en Espagne	Hachette cuisine	 $3 13752890 $o ISNI000000008111603X $a Mallet $b Jean-François $f 1967-.... $4 070	 $a Index
ark:/12148/cb46944141h	 $a Un amour de compète $b Texte imprimé $f Cécile Alix $g illustrations, Chiara Baglioni	 $a Paris $c Poulpe fictions $d DL 2021¤ $a impr. en Espagne	Poulpe fictions	 $3 16708403 $o ISNI0000000418729422 $a Alix $b Cécile $f 1972-.... $4 070	
ark:/12148/cb46993521s	 $a Le prix de la vérité $b Texte imprimé $f Florent Marotta	 $a [Paris] $c la Mécanique générale $d DL 2022¤ $a impr. en Espagne	la Mécanique générale	 $3 16712311 $o ISNI0000000458814074 $a Marotta $b Florent $f 1976-.... $4 070	
ark:/12148/cb469938010	 $a L'atout de l'outsider $b Texte imprimé $e transformez vos faiblesses en superpouvoirs ! $f Dean Graziosi $g [traduit de l'anglais par Nelly Renault]	 $a [Paris] $c Diateino $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Diateino¤Impr. Laballery	 $3 17842050 $a Graziosi $b Dean $4 070	
ark:/12148/cb46993421h	 $a Dans la forêt $b Texte imprimé $e raconte une histoire avec les doigts	 $a Grenoble $c Éditions Quatre fleuves $d DL 2022¤ $a impr. en Chine	Éditions Quatre fleuves		 $a Livre en tissu en forme de gant¤ $a Trad. de l'anglais
ark:/12148/cb46993731n	 $a Vers une spiritualité renouvelée $b Texte imprimé $e être et devenir $f sous la direction de Renaud Hétier $g [par] Muriel Briançon, Jean-Marc Lamarre, Jean-Marc Liautaud... [et al.]	 $a Lyon $c Chronique sociale $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Chronique sociale¤Impr. Présence graphique		 $a Bibliogr. p. 201-215
ark:/12148/cb46970071t	 $a Princesse, princesse $b Texte imprimé $f par Katie O'Neill	 $a Bordeaux $c Bliss éditions $d DL 2020¤ $a impr. en Slovénie	Bliss éditions	 $3 17870422 $o ISNI0000000483092026 $a O'Neill $b Katie $4 070	
ark:/12148/cb469550212	 $a Gonzenbook $b Texte imprimé $e monographie 1998-2021 $e Christian Gonzenbach $f sous la direction de Karine Tissot $g textes de Philippe Barde, Sarah Burkhalter, Claude d'Anthenaise... [et al.]	 $a [Gollion (Suisse)] $a [Paris] $c Infolio $a [Genève] $c l'Apage $d impr. 2021¤ $a impr. en Suisse	Infolio¤l'Apage		 $a Texte en français et en anglais¤ $a Index
ark:/12148/cb46948761r	 $a La longue course de Hsien Yù $b Texte imprimé $e roman $f Jean-Pierre Prin	 $a Paris $c l'Harmattan $d impr. 2021¤ $a 14-Condé-sur-Noireau $c Impr. Corlet numérique	l'Harmattan¤Impr. Corlet numérique	 $3 18017069 $o ISNI0000000507194327 $a Prin $b Jean-Pierre $f 19..-.... $4 070	
ark:/12148/cb46941511z	 $a Bordeaux $b Texte imprimé $e 140 ans de football $f Jean-François Pibre $g préfaces de Gernot Rohr et de Denis Balbir	 $a La Rochelle $c NA éditions¤ $d C 2021¤ $a impr. en Bulgarie	NA éditions	 $3 18012046 $o ISNI0000000507099653 $a Pibre $b Jean-François $f 1973-.... $4 070	 $a Notice réd. d'après la couv.¤ $a Webliogr. p. 246
ark:/12148/cb46941131g	 $a La magie du foyer au fil des saisons $b Texte imprimé $f Anna Franklin $g traduction d'Hervé Solarczyk	 $a Balma $c Éditions Danaé $d 2021¤ $a impr. en Turquie	Éditions Danaé	 $3 14627471 $o ISNI0000000053388935 $a Franklin $b Anna $4 070	 $a Bibliogr. p. 356-358. Index.
ark:/12148/cb46941451x	 $a Zébulon le dragon et les médecins volants $b Texte imprimé $f Julia Donaldson $g [illustré par] Axel Scheffler	 $a [Paris] $c Gallimard jeunesse $d DL 2021¤ $a impr. en République tchèque	Gallimard jeunesse	 $3 13344359 $o ISNI0000000121275108 $a Donaldson $b Julia $f 1948-.... $4 070	
ark:/12148/cb46984161z	 $a De tes propres ailes $b Texte imprimé $f Pauline Horellou $g [illustré par] Aurélie Guarino	 $a [Paris] $c Yo ! éditions $d DL 2022¤ $a 22-Saint-Brieuc $c Impr. Typolibris	Yo ! éditions¤Impr. Typolibris	 $3 18023612 $o ISNI0000000507305779 $a Horellou $b Pauline $f 1988-.... $4 070	
ark:/12148/cb469848418	 $a Les géants de poussière $b Texte imprimé $f Nickelodeon	 $a Paris $c Hachette jeunesse $d DL 2022¤ $a 85-Luçon $c Impr. Pollina	Hachette jeunesse¤Impr. Pollina		 $a D'après le dessin animé¤ $a Trad. de l'anglais
ark:/12148/cb46973341f	 $a Solo leveling $h 5 $b Texte imprimé $f [dessin], Dubu,... $g [scénario], Chugong	 $a Paris $c Kbooks $d DL 2022¤ $a impr. en Italie	Kbooks	 $3 17940652 $o ISNI0000000504686545 $a Dubu $f 1985?-2022 $4 440	 $a Trad. du coréen
ark:/12148/cb46973631z	 $a Cocteau en fiction(s) $b Texte imprimé $f sous la direction de Audrey Garcia	 $a [Paris] $c Comité Jean Cocteau $d DL 2021¤ $a Paris $c Impr. Presse-pluriel	Comité Jean Cocteau¤Impr. Presse-pluriel		
ark:/12148/cb469511817	 $a Cap ou pas cap ? $b Texte imprimé $f dessins & couleurs, William $g scénario, Cazenove & William	 $a Charnay-lès-Mâcon $c Bamboo édition $d DL 2021¤ $a 91-Palaiseau $c Impr. PPO graphic	Bamboo édition¤Impr. PPO graphic	 $3 14595909 $o ISNI0000000119333284 $a Maury $b William $f 1969-.... $4 440	
ark:/12148/cb469406517	 $a Le nuancier aquarelle $b Texte imprimé $e petit guide des mélanges de couleurs $f Moira Clinch $g traduit de l'anglais par Marie Naudet	 $a Paris $c Éditions Eyrolles $d 2021¤ $a impr. en Chine	Éditions Eyrolles	 $3 12980156 $a Clinch $b Moira $4 070	
ark:/12148/cb46940231h	 $a Droit du marketing, marque, publicité, promotion, communication, pratique illustrée $b Texte imprimé $e les incontournables juridiques sous l'angle du comportement et de la communication $f Yves Pontida	 $a Paris $c Archétype82 éditions $d DL 2021¤ $a Paris $c Impr. Archétype82	Archétype82 éditions¤Impr. Archétype82	 $3 17928196 $a Pontida $b Yves $4 070	 $a En appendice, choix de documents
ark:/12148/cb46960351t	 $a Le chien $b Texte imprimé $f Ninie	 $a Toulouse $c Milan $d DL 2022¤ $a impr. en Chine	Milan	 $3 16066903 $o ISNI0000000106558302 $a Ninie $f 1975-.... $4 070	 $a Livre cartonné à toucher
ark:/12148/cb469606013	 $a Les avides $b Texte imprimé $f Guillermo del Toro et Chuck Hogan $g traduit de l'anglais (États-Unis) par Agnès Espenan	 $a Paris $c J'ai lu $d DL 2022¤ $a impr. en Slovaquie	J'ai lu	 $3 14091920 $o ISNI0000000121417452 $a Toro $b Guillermo del $f 1964-.... $4 070	
ark:/12148/cb469609415	 $a Le slip de Léon $b Texte imprimé $f les histoires à flaps de Kate Hindley	 $a Paris $c Little urban $d DL 2022¤ $a impr. en Chine	Little urban	 $3 16744853 $o ISNI0000000418290392 $a Hindley $b Kate $4 070	 $a Livre cartonné
ark:/12148/cb46960251j	 $a 100 bucket list of the dead $h 3 $b Texte imprimé $f scénario, Haro Aso $g dessin, Kotaro Takata	 $a Bruxelles $a [Paris] $c Kana $d DL 2021¤ $a impr. en Italie	Kana	 $3 16148405 $o ISNI0000000122835656 $a Asō $b Haro $f 1980-.... $4 070	
ark:/12148/cb46960641b	 $a Architectural sciences and technology $b Texte imprimé $f editor in chief, Prof. Dr. Murat Dal	 $a Lyon $c Livre de Lyon $d 2021¤ $a 69-Lyon $c Impr. Livre de Lyon	Livre de Lyon¤Impr. Livre de Lyon		 $a Notes bibliogr. et webliogr.
ark:/12148/cb46960501t	 $a Eyguières $b Texte imprimé $e en toutes lettres $f par Joël Sylvestre $g [présenté par] Terre Alpilles éditions...	 $a [Eyguières] $c Terres Alpilles éditions $d DL 2021¤ $a 13-Le Rove $c Centre littéraire d'impression provençal	Terres Alpilles éditions¤Centre littéraire d'impression provençal	 $3 12928260 $o ISNI0000000480301603 $a Sylvestre $b Joël $f 1962-.... $4 070	 $a Bibliogr. p. 137
ark:/12148/cb46960231x	 $a Le chant des lilas $b Texte imprimé $f Lydia Morscheidt $g illustré par Anna Jendrzejak	 $a Saint-Estève $c Éditions les Presses littéraires $d DL 2021¤ $a 66-Saint-Estève $c Presses littéraires	Éditions les Presses littéraires¤Presses littéraires	 $3 17839381 $a Morscheidt $b Lydia $4 070	
ark:/12148/cb46988061n	 $a Évacuation $b Texte imprimé $e roman $f Raphaël Jérusalmy	 $a Arles $c Actes Sud $d DL 2022¤ $a 61-Alençon $c Normandie roto impr.	Actes Sud¤Normandie roto impr.	 $3 14409869 $o ISNI0000000046261573 $a Jérusalmy $b Raphaël $f 1954-.... $4 070	
ark:/12148/cb46989271r	 $a Maison de lumière $b Texte imprimé $e récit-poème $f Nicolas Millet	 $a Tours $c Éditions Atmen $d 2020¤ $a 37-Tours $c Impr. Atmen	Éditions Atmen¤Impr. Atmen	 $3 14552279 $o ISNI000000012140431X $a Millet $b Nicolas $f 1979-.... $4 070	
ark:/12148/cb46987761b	 $a Le Louvre $b Texte imprimé $f textes, Anne-Laure Peressin	 $a Paris $c Fleurus $d DL 2021¤ $a impr. en Italie	Fleurus	 $3 18005010 $o ISNI0000000506760569 $a Peressin $b Anne-Laure $4 070	
ark:/12148/cb46961611n	 $a L'adoption en question et les questions des enfants adoptés $b Texte imprimé $e plus celles qu'ils ne poseront peut-être pas ! $f Fanny Cohen Herlem	 $a Paris $c Éditions Pascal $d impr. 2020¤ $a Paris $c Impr. Pulsio	Éditions Pascal¤Impr. Pulsio	 $3 14403758 $o ISNI0000000384661123 $a Cohen Herlem $b Fanny $f 1947-.... $4 070	 $a En appendice, sites internet utiles
ark:/12148/cb46961341r	 $a L'ultime sortilège $b Texte imprimé $f Agnès Laroche	 $a Paris $c Rageot¤ $d C 2022¤ $a impr. en Italie	Rageot	 $3 15838453 $o ISNI0000000398575947 $a Laroche $b Agnès $f 1965-.... $4 070	
ark:/12148/cb469611714	 $a L'oiseau $b Texte imprimé $f [poème inédit de] P. Bergounioux $g [peintures originales de Chantal] Giraud Cauchy	 $a [Manosque] $c Ségust $d 2022¤ $a 04-Manosque $c Impr. Ségust	Ségust¤Impr. Ségust	 $3 12012444 $o ISNI0000000121409305 $a Bergounioux $b Pierre $f 1949-.... $4 070	 $a Livre d'artiste manuscrit et entièrement peint par Chantal Giraud Cauchy et signé par l'auteur et l'artiste¤ $a Éd. originale tirée à 6 ex.
ark:/12148/cb469788411	 $a Tu es trop petit $b Texte imprimé $f texte et illustrations, Émilie Gratien $g illustrations, Clémentine Perney	 $a [Rhinau] $c Éditions MK67 $d DL 2017¤ $a impr. en UE	Éditions MK67	 $3 17963490 $o ISNI0000000503518697 $a Gratien $b Émilie $4 070	
ark:/12148/cb469789717	 $a Apprendre pour s'envoler $b Texte imprimé $e méthode progressive de lecture et d'écriture pour adultes $f Nicole Anne Parfait, Isabelle Facelina Chaumet	 $a [Saint-Denis (Réunion)] $c Orphie $d DL 2021¤ $a impr. en UE	Orphie	 $3 18032288 $o ISNI0000000508161965 $a Parfait $b Nicole Anne $4 070	
ark:/12148/cb46978041t	 $a Les drames de la mer $b Texte imprimé $e 1852 $f Alexandre Dumas	 $a Lunel $c Éditions Ararauna $d DL 2022¤ $a impr. en Grande-Bretagne	Éditions Ararauna	 $3 11901063 $o ISNI0000000121012885 $a Dumas $b Alexandre $f 1802-1870 $4 070	
ark:/12148/cb46997301k	 $a La maison au bout du monde $b Texte imprimé $f Henry Beston $g postface, Éric Dussert	 $a [Paris] $c Éditions Corti $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Éditions Corti¤Normandie roto impr.	 $3 10884221 $o ISNI0000000110477249 $a Beston $b Henry $f 1888-1968 $4 070	 $a Initialement publié en 1928¤ $a Index
ark:/12148/cb46958501j	 $a Abbé Prévost, "Manon Lescaut" $b Texte imprimé $f Flore Galtayries,...	 $a [Levallois-Perret] $c Bréal $d impr. 2022¤ $a 58-Clamecy $c Impr. Laballery	Bréal¤Impr. Laballery	 $3 13538277 $o ISNI0000000039817780 $a Galtayries $b Flore $4 070	 $a Bibliogr., 2 p.
ark:/12148/cb46958781k	 $a Mes rituels de guérison $b Texte imprimé $e rituels pour vous connecter à l'univers $f Virginie Robert	 $a Paris $c Leduc éso $d DL 2022¤ $a impr. en Slovaquie	Leduc éso	 $3 17992646 $o ISNI0000000495508367 $a Robert $b Virginie $f 1980-.... $4 070	
ark:/12148/cb469587718	 $a Tarot de la sonorité sacrée $b Texte imprimé $e guide d'accompagnement $f Ashawnee Dubarry $g illustré par Coni Curi	 $a Paris $c Éditions Eyrolles $d DL 2021¤ $a impr. en Chine	Éditions Eyrolles	 $3 18015656 $o ISNI0000000507146499 $a Dubarry $b Ashawnee $4 070	 $a Contient 1 livre (80 p.) et 1 jeu de 78 cartes
ark:/12148/cb469581619	 $a Qui a maudit les Kennedy ? $b Texte imprimé $f Laurent Guyénot	 $a Dijon $c Kontre kulture $d 2021	Kontre kulture	 $3 12465519 $o ISNI0000000121028182 $a Guyénot $b Laurent $f 1960-.... $4 070	 $a Notes bibliogr.
ark:/12148/cb469963318	 $a La boule de neige $b Texte imprimé $a suivi de La colombe $f Alexandre Dumas	 $a Lunel $c Éditions Ararauna $d DL 2022¤ $a impr. en Pologne	Éditions Ararauna	 $3 11901063 $o ISNI0000000121012885 $a Dumas $b Alexandre $f 1802-1870 $4 070	
ark:/12148/cb46950651f	 $a Petit pois carotte $b Texte imprimé $f Morag Hood	 $a Paris $c Gallimard jeunesse $d DL 2020¤ $a impr. en Chine	Gallimard jeunesse	 $3 17120696 $o ISNI0000000464142825 $a Hood $b Morag $4 070	 $a Livre cartonné
ark:/12148/cb46950781n	 $a La dette souveraine $b Texte imprimé $e chronique parisienne $f Marie-Hélène Verdier	 $a Paris $c l'Harmattan $d impr. 2021¤ $a 14-Condé-en-Normandie $c Impr. Corlet	l'Harmattan¤Impr. Corlet	 $3 12644490 $o ISNI0000000026365391 $a Verdier $b Marie-Hélène $4 070	
ark:/12148/cb46946431h	 $a Toutes les mathématiques $b Texte imprimé $e première année de classes préparatoires scientifiques $f Daniel Duverney, Gilles Bouton, Pascale Bouton... [et al.]	 $a Paris $c Ellipses $d DL 2021¤ $a 37-Monts $c Impr. Présence graphique	Ellipses¤Impr. Présence graphique		 $a La couv. porte en plus : "MPSI, MP2I, PCSI, PTSI, TSI"¤ $a Index
ark:/12148/cb46946861j	 $a A la búsqueda del modelo perdido $b Texte imprimé $e la economía, una sinfonía inconclusa $f Alfredo L. Spilzinger	 $a Torino (Italie) $c l'Harmattan Italia $a Paris $c l'Harmattan¤ $d C 2014	l'Harmattan Italia¤l'Harmattan	 $3 18018807 $a Spilzinger $b Alfredo L. $4 070	
ark:/12148/cb469462011	 $a Rome des peintres et des écrivains $b Texte imprimé $f textes de Laurent Bolard	 $a Paris $c Hazan $d DL 2021¤ $a impr. en Italie	Hazan	 $3 12591269 $o ISNI0000000078347099 $a Bolard $b Laurent $4 070	 $a Bibliogr., 1 p.
ark:/12148/cb46945721s	 $a Le Petit Chaperon noir $b Texte imprimé $f texte, Essia Morellon $g illustrations, L'illusgraphie	 $a [Rhinau] $c Éditions MK67 $d 2021¤ $a 67-Rhinau $c Impr. MK67	Éditions MK67¤Impr. MK67	 $3 18019420 $o ISNI0000000507217250 $a Morellon $b Essia $4 070	
ark:/12148/cb46965031k	 $a Mes carnets de pêche à la mouche ou Les confidences d'un guide au bord de l'eau $h Tome 3 $b Texte imprimé $f [Hervé Thomas]	 $a Fuilla $c Éditions Fil de pêche $d DL 2022¤ $a 63-Clermont-Ferrand $c Impr. Color team	Éditions Fil de pêche¤Impr. Color team	 $3 16719097 $o ISNI0000000419912747 $a Thomas $b Hervé $f 1963-.... $4 070	
ark:/12148/cb46982191d	 $a Les anthologies du "Bulletin des amis d'André Gide" $e André Gide $h Tome II $i Correspondances inédites $b Texte imprimé $f édition critique par Pierre Masson	 $a Paris $c Classiques Garnier $d 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Classiques Garnier¤Impr. Corlet	 $3 11904849 $o ISNI0000000121445648 $a Gide $b André $f 1869-1951 $4 070	 $a Index
ark:/12148/cb46982351q	 $a Prier 15 jours avec François Mauriac $b Texte imprimé $f par Philippe Dazet-Brun	 $a Bruyères-le-Châtel $c Nouvelle cité $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Nouvelle cité¤Impr. CPI Firmin-Didot	 $3 15821041 $o ISNI000000036593363X $a Dazet-Brun $b Philippe $f 1965-.... $4 070	 $a Bibliogr. p. 117-118
ark:/12148/cb470866811	 $a Saint-Vincent-Bragny $b Texte imprimé $e deux clochers pour un village $f Association Histoire & patrimoine	 $a [Saint-Vincent-Bragny] $c Association Histoire & patrimoine $d DL 2022¤ $a 71-Paray-le-Monial $c Impr. Centre-com	Association Histoire & patrimoine¤Impr. Centre-com		 $a Bibliogr. p. 123
ark:/12148/cb47071121c	 $a Crédits non répartis $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2022]	[Direction du budget]		 $a Notice réd. d'après la couv.¤ $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb470715115	 $a La rafle du Vel d'hiv $b Texte imprimé $f Cabu $g dessins présentés par Laurent Joly $g avant-propos de Véronique Cabut	 $a Paris $c Tallandier $a [Paris] $c Mémorial de la Shoah, Musée, Centre de documentation $d DL 2022¤ $a impr. en Italie	Tallandier¤Mémorial de la Shoah, Musée, Centre de documentation	 $3 11894736 $o ISNI0000000123205832 $a Cabu $f 1938-2015 $4 440	 $a Publ. à l'occasion de l'exposition "Cabu : dessins de la rafle du Vel d'hiv", Paris, Mémorial de la Shoah, 1er juiller 2022-7 novembre 2022¤ $a Bibliogr. p. 53
ark:/12148/cb470711112	 $a Régimes sociaux et de retraite $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2022]	[Direction du budget]		 $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb47071101r	 $a Remboursements et dégrèvements $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2022]	[Direction du budget]		 $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb470792714	 $a Coeurs confinés $b Texte imprimé $e journal $f Bernadette Coltice	 $a Paris $c les Impliqués éditeur $d impr. 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	les Impliqués éditeur¤Impr. Corlet	 $3 13608416 $o ISNI0000000042393296 $a Coltice $b Bernadette $f 1943-.... $4 070	
ark:/12148/cb47043801j	 $a Les p'tits secrets du Berry $b Texte imprimé $f Daniel Bernard, Marine Cabidoche	 $a La Crèche $c Petit Geste $d DL 2022¤ $a impr. en Union européenne	Petit Geste	 $3 11891496 $o ISNI0000000106535696 $a Bernard $b Daniel $f 1953-.... $4 070	
ark:/12148/cb47010201j	 $a Le livre perdu $b Texte imprimé	 $a Paris $c les Livres du dragon d'or $d DL 2022¤ $a impr. en Italie	les Livres du dragon d'or		
ark:/12148/cb470103710	 $a La princesse qui suçait son pouce $b Texte imprimé $f texte de René Gouichoux $g [illustrations], Gitte Spee	 $a Montrouge $c Bayard jeunesse $d DL 2022¤ $a impr. en Europe	Bayard jeunesse	 $3 12728783 $o ISNI0000000035063723 $a Gouichoux $b René $f 1950-.... $4 070	
ark:/12148/cb470198915	 $a Le modélisme de mode $h Vol. 1 $i Coupe à plat, les bases $b Texte imprimé $f Teresa Gilewska	 $a Paris $c Éditions Eyrolles $d DL 2022¤ $a impr. en Croatie	Éditions Eyrolles	 $3 15806557 $o ISNI0000000122633915 $a Gilewska $b Teresa $4 070	 $a Glossaire
ark:/12148/cb47075621q	 $a La guerre franco-prussienne $b Texte imprimé $e 1870-1871 $e la France amputée $f [présenté par "Le Monde"]	 $a Vanves $c Hachette $d DL 2022¤ $a 85-Luçon $c Impr. Pollina	Hachette¤Impr. Pollina		 $a En appendice, dossier historique
ark:/12148/cb47037791t	 $a Dieu à l'épreuve de la vie quotidienne $b Texte imprimé $e conférences de carême 2022 $f Arnaud Van den Wiele	 $a Lyon $c Olivétan éditions $d DL 2022¤ $a 52-Langres $c la Manufacture impr.	Olivétan éditions¤la Manufacture impr.	 $3 18020691 $o ISNI0000000507253921 $a Van den Wiele $b Arnaud $f 1978-.... $4 070	
ark:/12148/cb470635719	 $a Couples de feu et de foi $b Texte imprimé $e 7 histoires d'amour, 7 itinéraires spirituels... $f Raphaëlle Simon $g préface de Sophie Lutz	 $a Paris $c Éditions Emmanuel $d DL 2020¤ $a 63-Riom $c Impr. la Source d'or	Éditions Emmanuel¤Impr. la Source d'or	 $3 17071240 $o ISNI0000000459716003 $a Simon $b Raphaëlle $f 1971-.... $4 070	 $a Notice réd. d'après la couv.¤ $a Bibliogr. et webliogr. p. 247-257
ark:/12148/cb470063012	 $a Les mots de la pratique $e dits et écrits d'artistes $h Tome 2 $b Texte imprimé $f sous la direction de Christophe Viart	 $a [Marseille] $c le Mot et le reste $d 2021¤ $a 13-La Roque-d'Anthéron $c Impr. Yenooa	le Mot et le reste¤Impr. Yenooa		 $a Notice réd. d'après la couv.¤ $a Publié dans le cadre du programme de recherche "Dits et écrits d'artistes : théories et fictions" de l'Institut ACTE, Arts, créations, théories, esthétiques, de l'Université de Paris 1 Panthéon-Sorbonne
ark:/12148/cb47000861v	 $a Le capitaine Pamphile $b Texte imprimé $f Alexandre Dumas	 $a Lunel $c Éditions Ararauna $d DL 2022¤ $a impr. en Pologne	Éditions Ararauna	 $3 11901063 $o ISNI0000000121012885 $a Dumas $b Alexandre $f 1802-1870 $4 070	
ark:/12148/cb47011661r	 $a L'astrologie de l'amour $b Texte imprimé $e pour une nuit ou pour la vie ? Vos affinités signe par signe $f Jean-Yves Espié $g avec la collaboration de Laurence Caracalla $g illustré par Sibylle Ristroph	 $a Neuilly-sur-Seine $c Michel Lafon $d DL 2022¤ $a impr. en Espagne	Michel Lafon	 $3 15027641 $o ISNI0000000003019701 $a Espié $b Jean-Yves $4 070	
ark:/12148/cb47015351k	 $a Que ton règne vienne $b Texte imprimé $f Divaldo Franco par l'esprit Amélia Rodrigues $g traduit du portugais par Stéphane Brulotte	 $a Lyon $c les Éditions Philman $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	les Éditions Philman¤Impr. Présence graphique	 $3 18034488 $a Rodrigues $b Amélia $c esprit $4 070	
ark:/12148/cb470208618	 $a Plancha $b Texte imprimé $e 60 recettes de grillades saines et ultra-gourmandes $f recettes et photographies de Sandra Mahut	 $a Vanves $c Marabout $d DL 2022¤ $a impr. en Italie	Marabout	 $3 14651942 $o ISNI0000000010844259 $a Mahut $b Sandra $f 1973-.... $4 070	 $a Index
ark:/12148/cb47005091s	 $a Comment vivre dans une société traumatisante et traumatisée ? $b Texte imprimé $f Franz Ruppert	 $a Paris $c le Courrier du livre $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	le Courrier du livre¤Impr. Laballery	 $3 17025035 $o ISNI0000000058897026 $a Ruppert $b Franz $4 070	 $a Bibliogr., 6 p.
ark:/12148/cb47042361s	 $a Le "Titanic" $b Texte imprimé $e de l'histoire au mythe $f Antoine Resche	 $a La Crèche $c la Geste $d DL 2022¤ $a impr. en Union européenne	la Geste	 $3 17973908 $o ISNI0000000497752742 $a Resche $b Antoine $f 1990-.... $4 070	 $a La couv. porte le label Presses universitaires de Nouvelle-Aquitaine¤ $a Bibliogr. p. 349-355. Webliogr. p. 355-356. Index
ark:/12148/cb47041251z	 $a No more mistakes ! $b Texte imprimé $e grammaire et traduction en anglais $f Stéphane Sitayeb,...	 $a Paris $c Ellipses¤ $d C 2022¤ $a 61-Lonrai $c Normandie roto impr.	Ellipses¤Normandie roto impr.	 $3 18012537 $o ISNI0000000507101709 $a Sitayeb $b Stéphane $4 070	 $a Bibliogr. p. 421
ark:/12148/cb47004211m	 $a Paris, des ports $b Texte imprimé $e dix siècles d'évolution $f Marc Reimbold, Paul Scherrer, Patrick Bertrand, Serge Aubourg	 $a Bayeux $c OREP éditions $d DL 2021¤ $a 22-Ploufragan $c Impr. Typolibris	OREP éditions¤Impr. Typolibris		 $a Bibliogr. p. 188-189. Index
ark:/12148/cb47004241j	 $a Le plus grand $b Texte imprimé $f Malika Doray	 $a [Nantes] $c Éditions Memo $d impr. 2022¤ $a impr. en République tchèque	Éditions Memo	 $3 14413387 $o ISNI0000000056972870 $a Doray $b Malika $f 1974-.... $4 070	
ark:/12148/cb47038381n	 $a Un printemps éblouissant à Vert-Cottage $b Texte imprimé $f Lucy Daniels $g traduit de l'anglais par Marion McGuiness	 $a [Gennevilliers] $c Éditions Prisma $d DL 2021¤ $a 86-Ligugé $c Impr. Aubin	Éditions Prisma¤Impr. Aubin	 $3 13193202 $o ISNI0000000106249876 $a Daniels $b Lucy $4 070	
ark:/12148/cb470303017	 $a Cours de droit international et européen $b Texte imprimé $f Étienne Farnoux,... Catherine Prieto,... Lukas Rass-Masson,... [et al.]	 $a Paris $c Éditions IEJ de la Sorbonne $d impr. 2022¤ $a 93-La Courneuve $c Isiprint	Éditions IEJ de la Sorbonne¤Isiprint		 $a IEJ = Institut d'études judiciaires¤ $a Index
ark:/12148/cb47070961k	 $a Plan de relance $b Texte imprimé	 $a [Paris] $c [Direction générale des finances publiques] $d [2022]	[Direction générale des finances publiques]		 $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb470701919	 $a Médias, livre et industries culturelles $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2022]	[Direction du budget]		 $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb47070351m	 $a Administration générale et territoriale de l'État $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2022]	[Direction du budget]		 $a 2022 d'après le contenu de l'ouvrage
ark:/12148/cb47057281j	 $a Le contentieux administratif en droit de l'Union des Comores $b Texte imprimé $f Athoumani Yhoulam	 $a Paris $c l'Harmattan $d impr. 2022¤ $a 14-Condé-sur-Noireau $c Impr. Corlet numérique	l'Harmattan¤Impr. Corlet numérique	 $3 18031087 $o ISNI0000000508132064 $a Yhoulam $b Athoumani $f 1986-.... $4 070	 $a Bibliogr. p. 139-143.
ark:/12148/cb47039611j	 $a La wyandotte $b Texte imprimé $f Jean-Claude Périquet	 $a [Gincrey] $c Club de la volaille meusienne $d DL 2022¤ $a impr. en Pologne	Club de la volaille meusienne	 $3 12255424 $o ISNI0000000046513531 $a Périquet $b Jean-Claude $f 1946-.... $4 070	 $a Bibliogr. et webliogr. p. 127-128
ark:/12148/cb47039981j	 $a L'or blanc $b Texte imprimé $e les marais salants de l'île de Noirmoutier $f photographe et auteur, Didier Babarit	 $a La Crèche $c la Geste $d DL 2022¤ $a impr. en Croatie	la Geste	 $3 17728772 $o ISNI0000000464768270 $a Babarit $b Didier $f 1963-.... $4 070	 $a Bibliogr., 4 p. Glossaire
ark:/12148/cb47018631h	 $a Fiction et philosophie $b Texte imprimé $e avec des notes inédites de Flaubert sur la philosophie de Spinoza et de Hegel $f sous la direction de Gisèle Séginger	 $a Paris $c Lettres modernes Minard $d DL 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Lettres modernes Minard¤Impr. Corlet		
